"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"203,000 ",,"182,000 ",,"185,000 ",,"137,000 ",,"226,000 ",,,,,,,,,,,,,,,
,,Q3,,"219,000 ",,"193,000 ",,"195,000 ",,"141,000 ",,"239,000 ",,,,,,,,,,,,,,,
,,Q4,,"212,000 ",,"190,000 ",,"192,000 ",,"142,000 ",,"232,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"218,000 ",,"187,000 ",,"190,000 ",,"139,000 ",,"231,000 ",,,,,,,,,,,,,,,
,,Q2,,"227,000 ",,"181,000 ",,"186,000 ",,"142,000 ",,"235,000 ",,,,,,,,,,,,,,,
,,Q3,,"234,000 ",,"193,000 ",,"196,000 ",,"145,000 ",,"243,000 ",,,,,,,,,,,,,,,
,,Q4,,"231,000 ",,"191,000 ",,"196,000 ",,"146,000 ",,"242,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"230,000 ",,"179,000 ",,"185,000 ",,"140,000 ",,"231,000 ",,,,,,,,,,,,,,,
,,Q2,,"236,000 ",,"185,000 ",,"193,000 ",,"145,000 ",,"241,000 ",,,,,,,,,,,,,,,
,,Q3,,"233,000 ",,"192,000 ",,"196,000 ",,"143,000 ",,"247,000 ",,,,,,,,,,,,,,,
,,Q4,,"247,000 ",,"187,000 ",,"195,000 ",,"144,000 ",,"243,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"240,000 ",,"185,000 ",,"191,000 ",,"144,000 ",,"240,000 ",,,,,,,,,,,,,,,
,,Q2,,"241,000 ",,"185,000 ",,"194,000 ",,"149,000 ",,"241,000 ",,,,,,,,,,,,,,,
,,Q3,,"243,000 ",,"194,000 ",,"200,000 ",,"148,000 ",,"251,000 ",,,,,,,,,,,,,,,
,,Q4,,"236,000 ",,"190,000 ",,"198,000 ",,"151,000 ",,"243,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"234,000 ",,"185,000 ",,"191,000 ",,"147,000 ",,"240,000 ",,,,,,,,,,,,,,,
,,Q2,,"235,000 ",,"187,000 ",,"195,000 ",,"151,000 ",,"243,000 ",,,,,,,,,,,,,,,
,,Q3,,"252,000 ",,"196,000 ",,"203,000 ",,"153,000 ",,"256,000 ",,,,,,,,,,,,,,,
,,Q4,,"249,000 ",,"197,000 ",,"206,000 ",,"154,000 ",,"257,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"240,000 ",,"192,000 ",,"199,000 ",,"150,000 ",,"249,000 ",,,,,,,,,,,,,,,
,,Q2,,"242,000 ",,"185,000 ",,"192,000 ",,"151,000 ",,"237,000 ",,,,,,,,,,,,,,,
,,Q3,,"258,000 ",,"210,000 ",,"217,000 ",,"163,000 ",,"271,000 ",,,,,,,,,,,,,,,
,,Q4,,"261,000 ",,"228,000 ",,"233,000 ",,"168,000 ",,"288,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"283,000 ",,"239,000 ",,"244,000 ",,"168,000 ",,"301,000 ",,,,,,,,,,,,,,,
,,Q2,,"261,000 ",,"236,000 ",,"240,000 ",,"171,000 ",,"301,000 ",,,,,,,,,,,,,,,
,,Q3,,"245,000 ",,"207,000 ",,"212,000 ",,"163,000 ",,"263,000 ",,,,,,,,,,,,,,,
,,Q4,,"250,000 ",,"210,000 ",,"218,000 ",,"166,000 ",,"287,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"265,000 ",,"222,000 ",,"228,000 ",,"172,000 ",,"292,000 ",,,,,,,,,,,,,,,
,,Q2,,"261,000 ",,"226,000 ",,"232,000 ",,"179,000 ",,"296,000 ",,,,,,,,,,,,,,,
,,Q3,,"270,000 ",,"240,000 ",,"244,000 ",,"182,000 ",,"314,000 ",,,,,,,,,,,,,,,
,,Q4,,"275,000 ",,"237,000 ",,"244,000 ",,"184,000 ",,"313,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"273,000 ",,"221,000 ",,"228,000 ",,"174,000 ",,"291,000 ",,,,,,,,,,,,,,,
,,Q2,,"284,000 ",,"225,000 ",,"235,000 ",,"178,000 ",,"299,000 ",,,,,,,,,,,,,,,
,,Q3,,"278,000 ",,"242,000 ",,"246,000 ",,"182,000 ",,"316,000 ",,,,,,,,,,,,,,,
,,Q4,,"284,000 ",,"231,000 ",,"239,000 ",,"180,000 ",,"305,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000004,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"73,000 ",,"51,000 ",,"54,000 ",,"41,000 ",,"68,000 ",,,,,,,,,,,,,,,
,,Q3,,"64,000 ",,"54,000 ",,"56,000 ",,"41,000 ",,"70,000 ",,,,,,,,,,,,,,,
,,Q4,,"63,000 ",,"50,000 ",,"52,000 ",,"39,000 ",,"68,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"68,000 ",,"49,000 ",,"52,000 ",,"42,000 ",,"66,000 ",,,,,,,,,,,,,,,
,,Q2,,"76,000 ",,"50,000 ",,"54,000 ",,"42,000 ",,"68,000 ",,,,,,,,,,,,,,,
,,Q3,,"68,000 ",,"51,000 ",,"54,000 ",,"42,000 ",,"67,000 ",,,,,,,,,,,,,,,
,,Q4,,"68,000 ",,"52,000 ",,"54,000 ",,"42,000 ",,"67,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"69,000 ",,"50,000 ",,"53,000 ",,"40,000 ",,"69,000 ",,,,,,,,,,,,,,,
,,Q2,,"70,000 ",,"52,000 ",,"54,000 ",,"43,000 ",,"71,000 ",,,,,,,,,,,,,,,
,,Q3,,"72,000 ",,"53,000 ",,"56,000 ",,"43,000 ",,"73,000 ",,,,,,,,,,,,,,,
,,Q4,,"72,000 ",,"52,000 ",,"56,000 ",,"43,000 ",,"69,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"63,000 ",,"49,000 ",,"51,000 ",,"39,000 ",,"68,000 ",,,,,,,,,,,,,,,
,,Q2,,"70,000 ",,"52,000 ",,"56,000 ",,"42,000 ",,"71,000 ",,,,,,,,,,,,,,,
,,Q3,,"70,000 ",,"53,000 ",,"56,000 ",,"40,000 ",,"75,000 ",,,,,,,,,,,,,,,
,,Q4,,"79,000 ",,"52,000 ",,"57,000 ",,"39,000 ",,"76,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"76,000 ",,"51,000 ",,"56,000 ",,"39,000 ",,"76,000 ",,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"56,000 ",,"59,000 ",,"41,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q3,,"82,000 ",,"58,000 ",,"62,000 ",,"41,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q4,,"82,000 ",,"54,000 ",,"57,000 ",,"42,000 ",,"73,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"83,000 ",,"56,000 ",,"59,000 ",,"42,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"59,000 ",,"62,000 ",,"42,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q3,,"82,000 ",,"57,000 ",,"61,000 ",,"45,000 ",,"76,000 ",,,,,,,,,,,,,,,
,,Q4,,"92,000 ",,"60,000 ",,"65,000 ",,"47,000 ",,"82,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"99,000 ",,"58,000 ",,"63,000 ",,"46,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q2,,"89,000 ",,"61,000 ",,"65,000 ",,"48,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q3,,"88,000 ",,"66,000 ",,"69,000 ",,"52,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q4,,"95,000 ",,"61,000 ",,"67,000 ",,"52,000 ",,"83,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"93,000 ",,"60,000 ",,"65,000 ",,"50,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q2,,"101,000 ",,"70,000 ",,"75,000 ",,"59,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q3,,"97,000 ",,"72,000 ",,"75,000 ",,"54,000 ",,"93,000 ",,,,,,,,,,,,,,,
,,Q4,,"115,000 ",,"66,000 ",,"73,000 ",,"57,000 ",,"85,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"111,000 ",,"70,000 ",,"75,000 ",,"56,000 ",,"93,000 ",,,,,,,,,,,,,,,
,,Q2,,"116,000 ",,"75,000 ",,"80,000 ",,"59,000 ",,"94,000 ",,,,,,,,,,,,,,,
,,Q3,,"106,000 ",,"77,000 ",,"81,000 ",,"59,000 ",,"96,000 ",,,,,,,,,,,,,,,
,,Q4,,"111,000 ",,"75,000 ",,"80,000 ",,"62,000 ",,"92,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"108,000 ",,"77,000 ",,"80,000 ",,"59,000 ",,"95,000 ",,,,,,,,,,,,,,,
,,Q2,,"120,000 ",,"82,000 ",,"89,000 ",,"67,000 ",,"104,000 ",,,,,,,,,,,,,,,
,,Q3,,"135,000 ",,"85,000 ",,"88,000 ",,"64,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q4,,"125,000 ",,"86,000 ",,"90,000 ",,"66,000 ",,"105,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"137,000 ",,"88,000 ",,"92,000 ",,"71,000 ",,"102,000 ",,,,,,,,,,,,,,,
,,Q2,,"134,000 ",,"98,000 ",,"103,000 ",,"75,000 ",,"115,000 ",,,,,,,,,,,,,,,
,,Q3,,"147,000 ",,"103,000 ",,"108,000 ",,"89,000 ",,"120,000 ",,,,,,,,,,,,,,,
,,Q4,,"142,000 ",,"110,000 ",,"114,000 ",,"93,000 ",,"120,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"142,000 ",,"110,000 ",,"113,000 ",,"88,000 ",,"122,000 ",,,,,,,,,,,,,,,
,,Q2,,"163,000 ",,"114,000 ",,"120,000 ",,"86,000 ",,"131,000 ",,,,,,,,,,,,,,,
,,Q3,,"178,000 ",,"138,000 ",,"140,000 ",,"95,000 ",,"147,000 ",,,,,,,,,,,,,,,
,,Q4,,"182,000 ",,"140,000 ",,"142,000 ",,"101,000 ",,"151,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"174,000 ",,"139,000 ",,"141,000 ",,"99,000 ",,"151,000 ",,,,,,,,,,,,,,,
,,Q2,,"188,000 ",,"149,000 ",,"152,000 ",,"109,000 ",,"161,000 ",,,,,,,,,,,,,,,
,,Q3,,"201,000 ",,"157,000 ",,"160,000 ",,"114,000 ",,"170,000 ",,,,,,,,,,,,,,,
,,Q4,,"196,000 ",,"160,000 ",,"164,000 ",,"120,000 ",,"175,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"195,000 ",,"159,000 ",,"162,000 ",,"120,000 ",,"171,000 ",,,,,,,,,,,,,,,
,,Q2,,"186,000 ",,"157,000 ",,"160,000 ",,"121,000 ",,"168,000 ",,,,,,,,,,,,,,,
,,Q3,,"196,000 ",,"163,000 ",,"166,000 ",,"120,000 ",,"180,000 ",,,,,,,,,,,,,,,
,,Q4,,"188,000 ",,"156,000 ",,"157,000 ",,"112,000 ",,"185,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"197,000 ",,"154,000 ",,"156,000 ",,"111,000 ",,"184,000 ",,,,,,,,,,,,,,,
,,Q2,,"193,000 ",,"158,000 ",,"160,000 ",,"115,000 ",,"186,000 ",,,,,,,,,,,,,,,
,,Q3,,"187,000 ",,"169,000 ",,"170,000 ",,"122,000 ",,"199,000 ",,,,,,,,,,,,,,,
,,Q4,,"197,000 ",,"170,000 ",,"172,000 ",,"120,000 ",,"200,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"193,000 ",,"168,000 ",,"169,000 ",,"119,000 ",,"197,000 ",,,,,,,,,,,,,,,
,,Q2,,"194,000 ",,"170,000 ",,"173,000 ",,"124,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q3,,"200,000 ",,"180,000 ",,"181,000 ",,"125,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q4,,"197,000 ",,"181,000 ",,"182,000 ",,"127,000 ",,"210,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"192,000 ",,"177,000 ",,"179,000 ",,"124,000 ",,"208,000 ",,,,,,,,,,,,,,,
,,Q2,,"199,000 ",,"176,000 ",,"178,000 ",,"128,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q3,,"187,000 ",,"179,000 ",,"179,000 ",,"127,000 ",,"207,000 ",,,,,,,,,,,,,,,
,,Q4,,"176,000 ",,"172,000 ",,"172,000 ",,"123,000 ",,"199,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"172,000 ",,"169,000 ",,"169,000 ",,"118,000 ",,"202,000 ",,,,,,,,,,,,,,,
,,Q2,,"162,000 ",,"167,000 ",,"167,000 ",,"120,000 ",,"193,000 ",,,,,,,,,,,,,,,
,,Q3,,"172,000 ",,"177,000 ",,"177,000 ",,"125,000 ",,"205,000 ",,,,,,,,,,,,,,,
,,Q4,,"179,000 ",,"177,000 ",,"177,000 ",,"127,000 ",,"200,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"162,000 ",,"184,000 ",,"183,000 ",,"122,000 ",,"212,000 ",,,,,,,,,,,,,,,
,,Q2,,"183,000 ",,"186,000 ",,"186,000 ",,"133,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q3,,"174,000 ",,"190,000 ",,"189,000 ",,"132,000 ",,"215,000 ",,,,,,,,,,,,,,,
,,Q4,,"179,000 ",,"182,000 ",,"181,000 ",,"126,000 ",,"206,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"187,000 ",,"179,000 ",,"177,000 ",,"123,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q2,,"183,000 ",,"174,000 ",,"175,000 ",,"124,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q3,,"186,000 ",,"183,000 ",,"183,000 ",,"129,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q4,,"190,000 ",,"179,000 ",,"180,000 ",,"124,000 ",,"207,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"187,000 ",,"173,000 ",,"175,000 ",,"126,000 ",,"202,000 ",,,,,,,,,,,,,,,
,,Q2,,"184,000 ",,"173,000 ",,"175,000 ",,"123,000 ",,"202,000 ",,,,,,,,,,,,,,,
,,Q3,,"184,000 ",,"177,000 ",,"177,000 ",,"125,000 ",,"206,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"178,000 ",,"180,000 ",,"126,000 ",,"210,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"185,000 ",,"171,000 ",,"172,000 ",,"124,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q2,,"194,000 ",,"172,000 ",,"175,000 ",,"128,000 ",,"205,000 ",,,,,,,,,,,,,,,
,,Q3,,"189,000 ",,"182,000 ",,"182,000 ",,"133,000 ",,"212,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"180,000 ",,"182,000 ",,"132,000 ",,"213,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"199,000 ",,"179,000 ",,"180,000 ",,"131,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q2,,"215,000 ",,"183,000 ",,"186,000 ",,"137,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q3,,"209,000 ",,"193,000 ",,"195,000 ",,"141,000 ",,"228,000 ",,,,,,,,,,,,,,,
,,Q4,,"213,000 ",,"186,000 ",,"190,000 ",,"141,000 ",,"223,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"206,000 ",,"188,000 ",,"191,000 ",,"139,000 ",,"226,000 ",,,,,,,,,,,,,,,
,,Q2,,"222,000 ",,"192,000 ",,"197,000 ",,"147,000 ",,"234,000 ",,,,,,,,,,,,,,,
,,Q3,,"225,000 ",,"201,000 ",,"204,000 ",,"147,000 ",,"242,000 ",,,,,,,,,,,,,,,
,,Q4,,"228,000 ",,"199,000 ",,"206,000 ",,"150,000 ",,"246,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"238,000 ",,"201,000 ",,"205,000 ",,"149,000 ",,"246,000 ",,,,,,,,,,,,,,,
,,Q2,,"238,000 ",,"193,000 ",,"199,000 ",,"154,000 ",,"243,000 ",,,,,,,,,,,,,,,
,,Q3,,"233,000 ",,"208,000 ",,"211,000 ",,"156,000 ",,"257,000 ",,,,,,,,,,,,,,,
,,Q4,,"247,000 ",,"206,000 ",,"212,000 ",,"160,000 ",,"256,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"237,000 ",,"198,000 ",,"204,000 ",,"154,000 ",,"250,000 ",,,,,,,,,,,,,,,
,,Q2,,"251,000 ",,"202,000 ",,"212,000 ",,"161,000 ",,"257,000 ",,,,,,,,,,,,,,,
,,Q3,,"255,000 ",,"211,000 ",,"217,000 ",,"161,000 ",,"264,000 ",,,,,,,,,,,,,,,
,,Q4,,"258,000 ",,"209,000 ",,"218,000 ",,"166,000 ",,"263,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"257,000 ",,"206,000 ",,"214,000 ",,"162,000 ",,"263,000 ",,,,,,,,,,,,,,,
,,Q2,,"270,000 ",,"211,000 ",,"222,000 ",,"170,000 ",,"271,000 ",,,,,,,,,,,,,,,
,,Q3,,"265,000 ",,"219,000 ",,"226,000 ",,"171,000 ",,"274,000 ",,,,,,,,,,,,,,,
,,Q4,,"271,000 ",,"216,000 ",,"227,000 ",,"174,000 ",,"276,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"259,000 ",,"209,000 ",,"218,000 ",,"167,000 ",,"267,000 ",,,,,,,,,,,,,,,
,,Q2,,"267,000 ",,"213,000 ",,"225,000 ",,"174,000 ",,"273,000 ",,,,,,,,,,,,,,,
,,Q3,,"267,000 ",,"217,000 ",,"225,000 ",,"171,000 ",,"274,000 ",,,,,,,,,,,,,,,
,,Q4,,"268,000 ",,"219,000 ",,"229,000 ",,"174,000 ",,"278,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"265,000 ",,"213,000 ",,"221,000 ",,"168,000 ",,"273,000 ",,,,,,,,,,,,,,,
,,Q2,,"268,000 ",,"211,000 ",,"219,000 ",,"168,000 ",,"272,000 ",,,,,,,,,,,,,,,
,,Q3,,"267,000 ",,"238,000 ",,"243,000 ",,"183,000 ",,"297,000 ",,,,,,,,,,,,,,,
,,Q4,,"278,000 ",,"256,000 ",,"260,000 ",,"193,000 ",,"310,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"290,000 ",,"270,000 ",,"273,000 ",,"197,000 ",,"321,000 ",,,,,,,,,,,,,,,
,,Q2,,"283,000 ",,"263,000 ",,"266,000 ",,"193,000 ",,"321,000 ",,,,,,,,,,,,,,,
,,Q3,,"266,000 ",,"237,000 ",,"242,000 ",,"188,000 ",,"291,000 ",,,,,,,,,,,,,,,
,,Q4,,"276,000 ",,"245,000 ",,"252,000 ",,"195,000 ",,"317,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"287,000 ",,"253,000 ",,"259,000 ",,"199,000 ",,"320,000 ",,,,,,,,,,,,,,,
,,Q2,,"286,000 ",,"263,000 ",,"268,000 ",,"209,000 ",,"330,000 ",,,,,,,,,,,,,,,
,,Q3,,"298,000 ",,"274,000 ",,"278,000 ",,"214,000 ",,"344,000 ",,,,,,,,,,,,,,,
,,Q4,,"302,000 ",,"273,000 ",,"280,000 ",,"216,000 ",,"346,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"292,000 ",,"256,000 ",,"263,000 ",,"203,000 ",,"326,000 ",,,,,,,,,,,,,,,
,,Q2,,"299,000 ",,"260,000 ",,"269,000 ",,"211,000 ",,"329,000 ",,,,,,,,,,,,,,,
,,Q3,,"287,000 ",,"270,000 ",,"273,000 ",,"211,000 ",,"335,000 ",,,,,,,,,,,,,,,
,,Q4,,"286,000 ",,"259,000 ",,"265,000 ",,"208,000 ",,"327,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000005,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"66,000 ",,"58,000 ",,"59,000 ",,"45,000 ",,"73,000 ",,,,,,,,,,,,,,,
,,Q3,,"69,000 ",,"57,000 ",,"58,000 ",,"48,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q4,,"71,000 ",,"54,000 ",,"57,000 ",,"42,000 ",,"74,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"64,000 ",,"58,000 ",,"58,000 ",,"45,000 ",,"75,000 ",,,,,,,,,,,,,,,
,,Q2,,"64,000 ",,"55,000 ",,"56,000 ",,"44,000 ",,"72,000 ",,,,,,,,,,,,,,,
,,Q3,,"73,000 ",,"57,000 ",,"59,000 ",,"44,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q4,,"73,000 ",,"58,000 ",,"60,000 ",,"46,000 ",,"77,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"78,000 ",,"58,000 ",,"60,000 ",,"45,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q2,,"72,000 ",,"56,000 ",,"59,000 ",,"45,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q3,,"71,000 ",,"57,000 ",,"59,000 ",,"45,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q4,,"67,000 ",,"57,000 ",,"59,000 ",,"47,000 ",,"74,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"71,000 ",,"57,000 ",,"59,000 ",,"45,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q2,,"84,000 ",,"60,000 ",,"64,000 ",,"44,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q3,,"76,000 ",,"60,000 ",,"63,000 ",,"42,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q4,,"80,000 ",,"59,000 ",,"63,000 ",,"43,000 ",,"85,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"81,000 ",,"58,000 ",,"61,000 ",,"43,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q2,,"77,000 ",,"64,000 ",,"66,000 ",,"44,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q3,,"90,000 ",,"62,000 ",,"65,000 ",,"45,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q4,,"87,000 ",,"63,000 ",,"64,000 ",,"46,000 ",,"82,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"92,000 ",,"62,000 ",,"64,000 ",,"42,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q2,,"97,000 ",,"64,000 ",,"68,000 ",,"46,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q3,,"94,000 ",,"65,000 ",,"68,000 ",,"48,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q4,,"90,000 ",,"68,000 ",,"71,000 ",,"47,000 ",,"90,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"94,000 ",,"67,000 ",,"69,000 ",,"48,000 ",,"89,000 ",,,,,,,,,,,,,,,
,,Q2,,"104,000 ",,"68,000 ",,"72,000 ",,"52,000 ",,"92,000 ",,,,,,,,,,,,,,,
,,Q3,,"81,000 ",,"71,000 ",,"73,000 ",,"55,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q4,,"97,000 ",,"70,000 ",,"73,000 ",,"54,000 ",,"91,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"99,000 ",,"69,000 ",,"72,000 ",,"52,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q2,,"106,000 ",,"74,000 ",,"77,000 ",,"58,000 ",,"93,000 ",,,,,,,,,,,,,,,
,,Q3,,"127,000 ",,"80,000 ",,"85,000 ",,"64,000 ",,"102,000 ",,,,,,,,,,,,,,,
,,Q4,,"116,000 ",,"78,000 ",,"82,000 ",,"63,000 ",,"100,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"108,000 ",,"74,000 ",,"76,000 ",,"57,000 ",,"96,000 ",,,,,,,,,,,,,,,
,,Q2,,"122,000 ",,"85,000 ",,"89,000 ",,"66,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q3,,"123,000 ",,"88,000 ",,"91,000 ",,"68,000 ",,"111,000 ",,,,,,,,,,,,,,,
,,Q4,,"131,000 ",,"89,000 ",,"94,000 ",,"63,000 ",,"115,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"121,000 ",,"85,000 ",,"87,000 ",,"65,000 ",,"103,000 ",,,,,,,,,,,,,,,
,,Q2,,"129,000 ",,"92,000 ",,"98,000 ",,"66,000 ",,"120,000 ",,,,,,,,,,,,,,,
,,Q3,,"129,000 ",,"102,000 ",,"104,000 ",,"72,000 ",,"122,000 ",,,,,,,,,,,,,,,
,,Q4,,"140,000 ",,"95,000 ",,"98,000 ",,"69,000 ",,"117,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"131,000 ",,"91,000 ",,"94,000 ",,"73,000 ",,"107,000 ",,,,,,,,,,,,,,,
,,Q2,,"151,000 ",,"104,000 ",,"110,000 ",,"80,000 ",,"120,000 ",,,,,,,,,,,,,,,
,,Q3,,"178,000 ",,"113,000 ",,"118,000 ",,"88,000 ",,"135,000 ",,,,,,,,,,,,,,,
,,Q4,,"164,000 ",,"120,000 ",,"123,000 ",,"97,000 ",,"135,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"162,000 ",,"112,000 ",,"115,000 ",,"90,000 ",,"117,000 ",,,,,,,,,,,,,,,
,,Q2,,"199,000 ",,"126,000 ",,"130,000 ",,"95,000 ",,"142,000 ",,,,,,,,,,,,,,,
,,Q3,,"186,000 ",,"142,000 ",,"144,000 ",,"88,000 ",,"154,000 ",,,,,,,,,,,,,,,
,,Q4,,"188,000 ",,"145,000 ",,"146,000 ",,"97,000 ",,"156,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"187,000 ",,"144,000 ",,"146,000 ",,"98,000 ",,"156,000 ",,,,,,,,,,,,,,,
,,Q2,,"194,000 ",,"155,000 ",,"159,000 ",,"106,000 ",,"165,000 ",,,,,,,,,,,,,,,
,,Q3,,"205,000 ",,"166,000 ",,"170,000 ",,"112,000 ",,"180,000 ",,,,,,,,,,,,,,,
,,Q4,,"189,000 ",,"167,000 ",,"172,000 ",,"116,000 ",,"181,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"192,000 ",,"161,000 ",,"165,000 ",,"112,000 ",,"176,000 ",,,,,,,,,,,,,,,
,,Q2,,"208,000 ",,"168,000 ",,"172,000 ",,"120,000 ",,"182,000 ",,,,,,,,,,,,,,,
,,Q3,,"187,000 ",,"171,000 ",,"173,000 ",,"125,000 ",,"189,000 ",,,,,,,,,,,,,,,
,,Q4,,"201,000 ",,"164,000 ",,"165,000 ",,"118,000 ",,"199,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"198,000 ",,"165,000 ",,"166,000 ",,"118,000 ",,"198,000 ",,,,,,,,,,,,,,,
